id,camera_path,device,viewport,timestep,ao-NA-1-NA,ao-NA-5-NA,pathtracer-NA-NA-10,pathtracer-NA-NA-5,scivis-false-1-NA,scivis-false-5-NA,scivis-true-1-NA,scivis-true-5-NA,umap_x,umap_y,seq
78,complex-planes,AMD Ryzen 9 3900X,1024,1,163.0555,141.2306,56.0774,70.506,159.9145,130.1534,155.1436,125.9752,3.9333584,3.8547862,8
79,complex-planes,AMD Ryzen 9 3900X,1024,2,162.7263,140.5966,55.3909,70.8461,158.7483,128.662,155.3007,125.7197,3.8484933,4.1410117,8
80,complex-planes,AMD Ryzen 9 3900X,1024,3,162.8118,141.4529,56.7463,71.9507,160.9515,129.3604,156.1539,126.8681,3.46652,3.994531,8
81,complex-planes,AMD Ryzen 9 3900X,1024,4,162.7657,142.9255,59.0242,74.1163,160.3263,131.3206,157.8589,130.1431,3.5189784,3.785328,8
82,complex-planes,AMD Ryzen 9 3900X,1024,5,164.0011,144.2687,61.7856,76.8758,161.3955,134.454,160.398,132.704,3.9490104,3.2952685,8
83,complex-planes,AMD Ryzen 9 3900X,1024,6,165.3453,146.1328,65.2673,80.3645,158.1008,136.9475,161.1393,136.8918,3.4042106,2.9582179,8
84,complex-planes,AMD Ryzen 9 3900X,1024,7,165.3786,146.4067,66.0698,80.973,163.9672,137.7355,162.9872,136.8766,3.6169152,2.768233,8
85,complex-planes,AMD Ryzen 9 3900X,1024,8,165.7745,145.8679,66.6458,81.363,163.3418,137.2686,162.8691,137.1343,3.005947,3.031463,8
86,complex-planes,AMD Ryzen 9 3900X,1024,9,165.1806,146.2897,67.021,81.5787,163.293,137.6226,160.817,137.9674,3.1910155,2.5665386,8
87,complex-planes,AMD Ryzen 9 3900X,1024,10,165.2573,146.0914,66.2866,80.9913,163.0242,137.367,162.5485,136.7574,3.3876271,2.1760087,8
88,complex-planes,AMD Ryzen 9 3900X,2048,0,42.6528,37.1357,14.7286,18.7883,41.8316,34.0574,40.7437,33.142,3.188992,2.7762182,9
89,complex-planes,AMD Ryzen 9 3900X,2048,1,42.6296,37.0198,14.627,18.621,41.7753,32.8009,40.5474,33.0393,3.4312956,3.1646607,9
90,complex-planes,AMD Ryzen 9 3900X,2048,2,42.607,36.9201,14.4898,18.4435,41.6015,33.4674,40.4903,32.7582,2.9867146,2.7178519,9
91,complex-planes,AMD Ryzen 9 3900X,2048,3,42.6059,36.91,14.8566,18.7713,41.6325,33.7698,40.8372,33.1574,2.9071178,2.8387885,9
