id,camera_path,device,viewport,timestep,ao-NA-1-NA,ao-NA-5-NA,pathtracer-NA-NA-10,pathtracer-NA-NA-5,scivis-false-1-NA,scivis-false-5-NA,scivis-true-1-NA,scivis-true-5-NA,umap_x,umap_y,seq
87,complex-streamlines,AMD Ryzen 9 3900X,1024,10,110.6951,83.7809,58.8007,62.6429,109.7855,81.0182,108.8786,80.4072,4.1113315,4.1894107,8
88,complex-streamlines,AMD Ryzen 9 3900X,2048,0,30.0556,23.4084,16.6513,17.3761,29.5527,22.7468,28.1616,21.862,4.9100256,-0.47973254,9
89,complex-streamlines,AMD Ryzen 9 3900X,2048,1,29.8166,23.27,16.3973,17.1885,29.3674,22.402,28.0651,21.66,4.795608,0.16073903,9
90,complex-streamlines,AMD Ryzen 9 3900X,2048,2,29.4341,23.0836,16.2283,17.1287,29.3301,22.2155,27.9048,21.4611,5.0903006,0.76735103,9
91,complex-streamlines,AMD Ryzen 9 3900X,2048,3,29.3809,22.8805,16.0932,16.964,29.0647,22.1115,27.687,21.2785,4.939306,0.97818565,9
92,complex-streamlines,AMD Ryzen 9 3900X,2048,4,29.3976,22.9654,16.1771,17.0829,29.1488,22.1706,27.909,21.4565,4.8741255,1.6094495,9
93,complex-streamlines,AMD Ryzen 9 3900X,2048,5,29.4613,23.043,16.3059,17.1682,29.2792,22.295,28.3288,21.8297,4.784788,1.4959784,9
94,complex-streamlines,AMD Ryzen 9 3900X,2048,6,29.6604,23.4168,16.5171,17.4176,29.58,22.6427,28.8177,22.2782,4.703078,2.1430604,9
95,complex-streamlines,AMD Ryzen 9 3900X,2048,7,29.5969,23.3037,16.3836,17.2819,29.3561,22.5109,28.9196,22.2141,4.452031,2.3421688,9
96,complex-streamlines,AMD Ryzen 9 3900X,2048,8,29.2138,22.6565,16.0095,16.8787,28.9226,21.7811,28.6361,21.631,4.3918443,2.874575,9
97,complex-streamlines,AMD Ryzen 9 3900X,2048,9,28.882,22.0636,15.5392,16.4953,28.5256,21.389,28.2845,21.2463,4.2109632,2.6927652,9
98,complex-streamlines,AMD Ryzen 9 3900X,2048,10,28.4887,21.7403,15.2858,15.8733,28.1857,20.9456,28.0441,20.8477,4.513609,2.6680777,9
99,complex-streamlines,Intel Core i5-7500,512,0,134.7811,100.8767,67.8265,68.5706,133.0369,97.9326,127.6644,93.5489,3.8631928,4.622744,10
100,complex-streamlines,Intel Core i5-7500,512,1,134.6355,99.7974,68.7886,72.8237,133.4697,96.0873,123.0115,82.3228,3.4586062,4.516624,10
101,complex-streamlines,Intel Core i5-7500,512,2,133.0612,98.9443,67.8233,72.7495,129.9954,93.3864,123.8047,88.9909,3.9032812,4.5275745,10
102,complex-streamlines,Intel Core i5-7500,512,3,131.3305,97.195,64.2352,68.9712,130.4296,92.8936,124.0938,91.7793,3.609469,4.314794,10
103,complex-streamlines,Intel Core i5-7500,512,4,131.5902,95.8304,68.9869,71.6717,127.8315,93.8756,123.4476,92.2909,4.2922626,4.565888,10
104,complex-streamlines,Intel Core i5-7500,512,5,132.7635,96.7455,67.4682,71.9481,130.9897,96.5586,127.1443,90.7252,3.765427,4.074106,10
105,complex-streamlines,Intel Core i5-7500,512,6,135.2902,101.3779,68.0791,74.6391,125.1638,95.9739,131.2818,94.9037,3.9671152,4.2194123,10
106,complex-streamlines,Intel Core i5-7500,512,7,134.0202,100.0356,67.3541,67.7108,133.9212,94.5439,128.1337,95.9012,3.6849673,4.172193,10
